0,现已建成的核电站的能量来⾃于,重核裂变放出的能量,⼈⼯放射性同位素放出的的能量,天然放射性元素衰变放出的能量,化学反应放出的能量,A,A. 重核裂变放出的能量
1,下列现象中，属于⽤热传递的⽅式改变物体内能的是,两⼿互相摩擦时⼿发热,在炉⼦上烧开⽔,菜⼑在砂轮上磨得发烫,⽤打⽓筒打⽓时筒壁发热,B,B. 在炉⼦上烧开⽔
2,⼀名观察者站在站台边，⽕⻋进站从他身边经过，⽕⻋共10节⻋厢，当第10节⻋厢完全经过他身边时，⽕⻋刚好停下。设⽕⻋做匀减速直线运动且每节⻋厢⻓度相同，则第8节和第9节⻋厢从他身边经过所⽤ 时间的⽐值为,sqrt(3):sqrt(2),(sqrt(2)-1):(sqrt(3)-sqrt(2)),(sqrt(3)-sqrt(2)):(sqrt(2)-1),sqrt(2):sqrt(3),C,D. sqrt(2):sqrt(3)
3,关于电场，下列说法中正确的是,电场是为了便于研究电荷的运动⽽引⼊的理想模,电荷间的相互作⽤不是通过电场作媒介产⽣的,电荷周围分布的电场线就是电场,电场是电荷周围空间实际存在的物质,D,A. 电场是为了便于研究电荷的运动⽽引⼊的理想模型
4,下列关于紫外线的⼏种说法中，正确的是,紫外线可使钞票上的荧光物质发光,紫外线的频率⽐红外线的频率低,利⽤紫外线可以进⾏电视机等电器的遥控,紫外线是⼀种紫⾊的可⻅光,A,A. 紫外线可使钞票上的荧光物质发光B. 紫外线的频率比红外的频率低C. 利用紫外线可以进行电视机等电器的遥控D. 紫外线是一种紫色的可见光
5,关于功和能的联系和区别，下列说法中不正确的是,功是过程量，能是状态量,功是能量转化的量度,做功的过程总对应着能量的转化过程,功就是能，能就是功,D,D. 功就是能，能就是功
6,下列说法正确的是,光速不变原理是狭义相对论的两个基本假设之⼀,光在介质中的速度⼤于光在真空中的速度,变化的电场⼀定产⽣变化的磁场；变化的磁场⼀定产⽣变化的电场,拍摄玻璃橱窗内的物品时，往往在镜头前加⼀个偏振⽚以增加透射光的强度,A,A. 光速不变原理是狭义相对论的两个基本假设之一。
7,两个质量相等的物体分别沿⾼度相同但倾⻆不同的光滑斜⾯从顶端⾃由下滑到底端，在此过程中两物体具有相同的物理量是,动量的变化,合⼒的冲量,速率的变化,重⼒的冲量,C,C.速率的变化。解题过程如下：由于两个物体质量相等，由牛顿第二定律可知，它们在光滑斜面上受到的加速度相等。加速度是速度的变化率，因此两个物体在斜面上的速度变化率也相等。所以，两个物体具有相同的速度变化。然而，物体在斜面上的动量变化率并不等于速度变化率。动量变化量等于物体质量与斜面法线方向的加速度的乘积，而重力冲量等于物体的质量与斜面法线方向的加速度的乘积。因此，两个物体在斜面上的重力冲量并不相等，而动量变化量也不相等。综上所述，两个物体在��高潮度相同但倾⻆不同的光滑斜面上从顶端⾃由滑到底端，在此过程中，它们具有相同的物理量是速率的变化。
8,关于瞬时速度，下列说法正确的是,是物体在某段时间内的速度,是物体在通过某⼀段位移过程中的速度,以上说法均正确,是物体通过某⼀位置时的速度,D,C. 以上说法均正确。
9,⽓体内能是所有⽓体分⼦热运动动能和势能的总和，其⼤⼩与⽓体的状态有关，分⼦热运动的平均动能与分⼦间势能分别取决于⽓体的,压强和温度,体积和压强,温度和压强,温度和体积,D,C. 温度和压强
10,关于曲线运动，下列说法中正确的是,曲线运动也可以是速度不变的运动,变速运动⼀定是曲线运动,曲线运动⼀定是变速运动,速率不变的曲线运动是匀速运动,C,C. 曲线运动一定是变速运动曲线运动是指物体在曲线轨迹上运动，其速度方向随时改变，因此曲线运动一定是变速运动。
11,⽤⼀束紫外线照射某⾦属时不能产⽣光电效应，可能使该⾦属产⽣光电效应的措施是,改⽤频率更⼩的紫外线照射,延⻓原紫外线的照射时间,改⽤强度更⼤的原紫外线照射,改⽤X射线照射,D,D. 改用X射线照射
12,关于作⽤⼒和反作⽤⼒，下列说法正确的是,弹⼒与摩擦⼒都有反作⽤⼒，⽽重⼒⽆反作⽤⼒,作⽤⼒与反作⽤⼒的合⼒为零,作⽤⼒与反作⽤⼒⼀定是性质相同的⼀对⼒,当作⽤⼒产⽣后，再产⽣反作⽤⼒；当作⽤⼒消失后，反作⽤⼒才慢慢的消失,C,A. 弹⼒与摩擦⼒都有反作⽤⼒，⽽重⼒⽆反作⽤⼒B. 作 用⼒与反作 用⼒的合 力 为零C. 作 用⼒与反作 用⼒一 定是性质相同的一对力D. 作 用⼒产 生后，再产 生反作 用⼒；当作 用⼒消失后，反作 用⼒才慢慢 的消失
13,爱因斯坦提出了质能⽅程，揭示了质量与能量的关系，关于质能⽅程，下列说法正确的是,mc2是物体能够放出能量的总和,当物体向外释放能量时，其质量必定减少，且减少的质量Δm与释放的能量ΔE满⾜ΔE＝Δmc^2,质量和能量可以相互转化,如果物体的能量增加了ΔE，那么它的质量相应减少Δm，并且ΔE＝Δmc^2,B,D. 如果物体的能量增加了ΔE，那么它的质量相应减少Δm，并且ΔE＝Δmc^2。
14,把三个都是12Ω的电阻采⽤串连、并联或混联都不可能获得的阻值是,24Ω,36Ω,8Ω,18Ω,A,C. 8Ω根据电阻的串连、并联和混联的计算公式，可以得出：1. 电阻的串连计算公式：1/R = 1/R1 + 1/R2 + 1/R3 +……+1/Rn所以，三个12Ω电阻串联总阻值为：1/R = 1/12 + 1/12 + 1/12 = 1/6Ω = 18.75Ω，不可能等于24Ω或36Ω2. 电阻的并联计算公式：1/R = 1/R1 + 1/R2 + 1/R3 +……+1/Rn所以，三个12Ω电阻并联总阻值为：1/R = 1/12 + 1/12 + 1/12 = 1/6Ω = 18.75Ω，仍然不可能等于24Ω或36Ω3. 电阻的混联计算公式：R = R1 + R2 + R3 +……+Rn所以，三个12Ω电阻混联总阻值为：R = 12Ω + 12Ω + 12Ω = 36Ω，也不可能等于24Ω或36Ω综上所述，三个都是12Ω的电阻串联、并联或混联都不可能获得阻值24Ω或36Ω。正确答案是C. 8Ω。
15,下⾯是四种与光有关的事实：A⽤光导纤维传播信号；B⽤透明的标准样板和单⾊光检查平⾯的平整度；C⼀束⽩光通过三棱镜形成彩⾊光带；D⽔⾯上的油膜呈现彩⾊。其中，与光的⼲涉有关的是,BC,AD,BD,AC,C,B. AD
16,关于⼒，下列说法中正确的是,⼒⼀定产⽣在两个直接接触的物体之间,滑动摩擦⼒的⽅向⼀定与物体的运动⽅向相反,作⽤⼒和反作⽤⼒的合⼒为零,⼒是使物体产⽣加速度的原因,D,D. ⼒是使物体产⽣加速度的原因。
17,⼀位中学⽣对地球的吸引⼒约为,0N,100N,500N,无穷大,B,"C. 500N。地球的吸引力是一个常数，由牛顿定律可知，地球对物体的引力大小为F=Gd/r^2，其中G为万有引力常数，d为物体与球心之间的距离，r为物体与球心之间的半径。由于地球的半径约为10,000公里，所以地球对一般物体的吸引力约为500N。"
18,在LC振荡电路中，⽤以下哪种办法可以使振荡频率增⼤⼀倍,⾃感L和电容C都减⼩⼀半,⾃感L减⼩⼀半，电容C增⼤⼀倍,⾃感L增⼤⼀倍，电容C减⼩⼀半;,⾃感L和电容C都增⼤⼀倍,A,B. 自感L减半，电容C增大一半。
19,下列现象发⽣的过程中，放出热量的⼀组是 A冰雪消融 B积⽔⼲涸 C滴⽔成冰 D霜满枝头,AB,BD,AC,CD,D,B
20,关于⾃由落体运动，下列说法不正确的是,当空⽓阻⼒的作⽤⽐较⼩可以忽略不计时，物体⾃由下落可视为⾃由落体运动,物体竖直向下的运动⼀定是⾃由落体运动,⾃由落体运动是初速度为零、加速度为g的竖直向下的匀加速直线运动,物体只在重⼒作⽤下从静⽌开始下落的运动叫⾃由落体运动,B,A. 当空⽓阻⼒的作 用⽐较⼩可以忽略不计时，物体⾃由下落可视为⾃由落体运动B. 物体竖直向下的运动一定是⾃由落体运动C. ⾃由落体运动是初速度为零、加速度为g的竖直向下的匀加速直线运动D. 物体只在重⼒作 用下从静⽌开始下落的运动叫⾃由落体运动
21,运输家⽤电器、易碎器件等物品时，经常⽤泡沫塑料作填充物，这是为了在运输过程中,使物体的动量减⼩,使物体的动量变化率减⼩,减⼩物品受到的冲量,使物体的动量变化量减⼩,B,D. 使物体的动量变化量减⼩。解题过程：- 首先，分析选项A，泡沫塑料对物体动量的变化没有直接影响，所以排除A。- 其次，分析选项B，泡沫塑料使物体的体积较大，从而降低了物体的动量，一定的体积的泡沫塑料移动的距离相同，其动量变化率相同，故排除B。- 然后，分析选项C，泡沫塑料使物品运动的速度慢一些，但并不是速度减小，就代表受到的冲量减小，排除C。- 最后，分析选项D，泡沫塑料总会在空间里做无序运动，即总 Sort 1 of 1被击中的物体在动量变化的过程中，其内能增加，总比总比总比总比总比小，所以使得物体的动量变化量减⼩。综上所述，选择D。
22,卢瑟福提出了原⼦的核式结构模型，这⼀模型建⽴的基础是,对阴极射线的研究,a粒⼦的散射实验,质⼦的发现,天然放射性现象的发现,B,B. 卢瑟福通过α粒子散射实验提出了原子的核式结构模型。
23,关于重⼒、弹⼒、摩擦⼒下⾯说法正确的是,摩擦⼒可能与物体相对于地⾯的运动⽅向相同,重⼒与物体的质量和所在的地理位置⽆关,有弹⼒就⼀定有摩擦⼒,在粗糙程度⼀定的情况下，接触⾯间的压⼒越⼤，摩擦⼒也⼀定越⼤,A,A. 摩擦力可能与物体相对于地面的运动方向相同。
24,⼀个物体做⾃由落体运动，取g = 10 m/s^2，则2s末物体的速度为,70m/s,30m/s,50m/s,20m/s,D,A. 70m/s
25,平静湖⾯传播着⼀列⽔⾯波，在波的传播⽅向上有相距3 m的甲、⼄两⼩⽊块随波上下运动，测得两⼩⽊块每分钟都上下运动30次，甲在波⾕时，⼄在波峰，且两⽊块之间有⼀个波峰。这列⽔⾯波,波⻓是3 m ,周期是0.1 s,波速是1 m/s,频率是30 Hz,C,D
26,物体以60J的初动能，从A点出发作竖直上抛运动，在它上升到某⼀⾼度时，动能损失了30J，⽽机械能损失了10J，则该物体再落回到A处的动能为（假设空⽓阻⼒⼤⼩恒定）,50J,40J,20J,30J,C,A. 50J
27,关于圆周运动，下列说法正确的是,做圆周运动的物体加速度⼀定始终指向圆⼼,匀速圆周运动是匀速运动,匀速圆周运动是变速运动,匀速圆周运动是所受合⼒为零的运动,C,A.做圆周运动的物体加速度一定始终指向圆心B.匀速圆周运动是匀速运动C.匀速圆周运动是变速运动D.匀速圆周运动是所受合力和零的运动
28,将⼀个⼒分解为两个分⼒，合⼒与分⼒的关系是,合⼒的⼤⼩⼀定等于两个分⼒⼤⼩之和,合⼒的⼤⼩不可能⼩于每⼀个分⼒的⼤⼩,合⼒的⼤⼩⼀定⽐⼀个分⼒⼤，⽐另⼀个分⼒⼩,合⼒的⼤⼩可能⽐每⼀个分⼒都⼤，也可能⽐每⼀个分⼒都⼩,D,D. 合⼒的⼀定⽐每个分⼒的⼀定⽐另一个分⼒的⼀定⽐另一个分⼒的小。解题过程：A选项错误，当两个力同向时，其大小相加；当两个力反向时，其大小相减。B选项错误，根据力的合成原理，一个力可以大于或等于每一个分力，也可以小于每一个分力。C选项错误，根据力的合成原理，一个力可以大于或等于每一个分力，也可以小于每一个分力。D选项正确，合力的方向可以大于或小于两个分力的方向之和，也可以大于或小于两个分力的方向之差。
