Subject,Accuracy
agronomy,0.479
anatomy,0.358
ancient_chinese,0.299
arts,0.644
astronomy,0.345
business_ethics,0.445
chinese_civil_service_exam,0.553
chinese_driving_rule,0.679
chinese_food_culture,0.478
chinese_foreign_policy,0.645
chinese_history,0.663
chinese_literature,0.402
chinese_teacher_qualification,0.709
clinical_knowledge,0.447
college_actuarial_science,0.271
college_education,0.636
college_engineering_hydrology,0.481
college_law,0.417
college_mathematics,0.404
college_medical_statistics,0.438
college_medicine,0.438
computer_science,0.497
computer_security,0.629
conceptual_physics,0.617
construction_project_management,0.417
economics,0.509
education,0.62
electrical_engineering,0.436
elementary_chinese,0.484
elementary_commonsense,0.561
elementary_information_and_technology,0.693
elementary_mathematics,0.341
ethnology,0.533
food_science,0.517
genetics,0.369
global_facts,0.544
high_school_biology,0.533
high_school_chemistry,0.42
high_school_geography,0.551
high_school_mathematics,0.304
high_school_physics,0.441
high_school_politics,0.613
human_sexuality,0.524
international_law,0.384
journalism,0.558
jurisprudence,0.564
legal_and_moral_basis,0.846
logical,0.553
machine_learning,0.444
management,0.614
marketing,0.567
marxist_theory,0.688
modern_chinese,0.448
nutrition,0.552
philosophy,0.571
professional_accounting,0.606
professional_law,0.37
professional_medicine,0.391
professional_psychology,0.598
public_relations,0.523
security_study,0.563
sociology,0.553
sports_science,0.467
traditional_chinese_medicine,0.476
virology,0.497
world_history,0.634
world_religions,0.613
