Model,Subject,Accuracy,Shot,Test
ChatGLM3_6B,STEM,43.69,0,Test1
ChatGLM3_6B,Humanities,56.11,0,Test1
ChatGLM3_6B,Social Science,57.37,0,Test1
ChatGLM3_6B,Other,55.86,0,Test1
ChatGLM3_6B,China specific,55.07,0,Test1
ChatGLM3_6B,Overall,53.32,0,Test1
Freeze10(S2.5K)-DMT(S0.1K+G2.5K),STEM,43.4,0,Test1
Freeze10(S2.5K)-DMT(S0.1K+G2.5K),Humanities,56.21,0,Test1
Freeze10(S2.5K)-DMT(S0.1K+G2.5K),Social Science,55.66,0,Test1
Freeze10(S2.5K)-DMT(S0.1K+G2.5K),Other,55.34,0,Test1
Freeze10(S2.5K)-DMT(S0.1K+G2.5K),China specific,54.44,0,Test1
Freeze10(S2.5K)-DMT(S0.1K+G2.5K),Overall,52.58,0,Test1
Freeze10(S2.5K)-DMT(S0.5K+G2.5K),STEM,44.08,0,Test1
Freeze10(S2.5K)-DMT(S0.5K+G2.5K),Humanities,56.4,0,Test1
Freeze10(S2.5K)-DMT(S0.5K+G2.5K),Social Science,55.39,0,Test1
Freeze10(S2.5K)-DMT(S0.5K+G2.5K),Other,55.36,0,Test1
Freeze10(S2.5K)-DMT(S0.5K+G2.5K),China specific,54.27,0,Test1
Freeze10(S2.5K)-DMT(S0.5K+G2.5K),Overall,52.71,0,Test1
Freeze10(S2.5K)-DMT(S1.25K+G2.5K),STEM,43.69,0,Test1
Freeze10(S2.5K)-DMT(S1.25K+G2.5K),Humanities,56.66,0,Test1
Freeze10(S2.5K)-DMT(S1.25K+G2.5K),Social Science,56.07,0,Test1
Freeze10(S2.5K)-DMT(S1.25K+G2.5K),Other,55.5,0,Test1
Freeze10(S2.5K)-DMT(S1.25K+G2.5K),China specific,53.74,0,Test1
Freeze10(S2.5K)-DMT(S1.25K+G2.5K),Overall,52.91,0,Test1
Freeze10(S2.5K)-DMT(S2.5K+G2.5K),STEM,43.31,0,Test1
Freeze10(S2.5K)-DMT(S2.5K+G2.5K),Humanities,57.6,0,Test1
Freeze10(S2.5K)-DMT(S2.5K+G2.5K),Social Science,56.46,0,Test1
Freeze10(S2.5K)-DMT(S2.5K+G2.5K),Other,55.39,0,Test1
Freeze10(S2.5K)-DMT(S2.5K+G2.5K),China specific,55.08,0,Test1
Freeze10(S2.5K)-DMT(S2.5K+G2.5K),Overall,53.1,0,Test1
Freeze10(S2.5K)-DMT(S2.5K+G5K),STEM,42.26,0,Test1
Freeze10(S2.5K)-DMT(S2.5K+G5K),Humanities,55.34,0,Test1
Freeze10(S2.5K)-DMT(S2.5K+G5K),Social Science,55.2,0,Test1
Freeze10(S2.5K)-DMT(S2.5K+G5K),Other,54.05,0,Test1
Freeze10(S2.5K)-DMT(S2.5K+G5K),China specific,53.72,0,Test1
Freeze10(S2.5K)-DMT(S2.5K+G5K),Overall,51.69,0,Test1
Freeze10-MTL(S2.5K+G1.25K),STEM,42.32,0,Test1
Freeze10-MTL(S2.5K+G1.25K),Humanities,55.7,0,Test1
Freeze10-MTL(S2.5K+G1.25K),Social Science,56.05,0,Test1
Freeze10-MTL(S2.5K+G1.25K),Other,54.42,0,Test1
Freeze10-MTL(S2.5K+G1.25K),China specific,53.41,0,Test1
Freeze10-MTL(S2.5K+G1.25K),Overall,52.13,0,Test1
Freeze10-MTL(S2.5K+G10K),STEM,42.7,0,Test1
Freeze10-MTL(S2.5K+G10K),Humanities,56.05,0,Test1
Freeze10-MTL(S2.5K+G10K),Social Science,55.07,0,Test1
Freeze10-MTL(S2.5K+G10K),Other,52.95,0,Test1
Freeze10-MTL(S2.5K+G10K),China specific,52.97,0,Test1
Freeze10-MTL(S2.5K+G10K),Overall,51.65,0,Test1
Freeze10-MTL(S2.5K+G2.5K),STEM,44.25,0,Test1
Freeze10-MTL(S2.5K+G2.5K),Humanities,56.71,0,Test1
Freeze10-MTL(S2.5K+G2.5K),Social Science,57.04,0,Test1
