Model,Subject,Accuracy
chatglm3_6b,STEM,41.11
chatglm3_6b,Humanities,52.67
chatglm3_6b,Social Science,54.33
chatglm3_6b,Other,53.55
chatglm3_6b,China specific,51.63
chatglm3_6b,Overall,50.48
freeze10,STEM,40.54
freeze10,Humanities,53.13
freeze10,Social Science,53.57
freeze10,Other,53.14
freeze10,China specific,51.71
freeze10,Overall,50.08
freeze10_alpaca_10K,STEM,41.95
freeze10_alpaca_10K,Humanities,55.08
freeze10_alpaca_10K,Social Science,54.0
freeze10_alpaca_10K,Other,54.94
freeze10_alpaca_10K,China specific,52.33
freeze10_alpaca_10K,Overall,51.36
freeze10_alpaca_20K,STEM,41.2
freeze10_alpaca_20K,Humanities,53.63
freeze10_alpaca_20K,Social Science,53.86
freeze10_alpaca_20K,Other,54.14
freeze10_alpaca_20K,China specific,52.24
freeze10_alpaca_20K,Overall,50.67
freeze10_alpaca_5K,STEM,40.64
freeze10_alpaca_5K,Humanities,52.6
freeze10_alpaca_5K,Social Science,52.45
freeze10_alpaca_5K,Other,52.36
freeze10_alpaca_5K,China specific,50.59
freeze10_alpaca_5K,Overall,49.46
